Week,Opponent,Result,Total_Plays,Sacks,Turnovers,Penalties,Est_Drops,Total_Critical_Errors,12_Percent_Score,Win_Loss_Bool,Cleveland_Result,Opp_Total_Plays,Opp_Sacks,Opp_Turnovers,Opp_Penalties,Opp_Est_Drops,Opp_Total_Errors,Opp_12_Percent_Score,Opp_Is_Win
1,DAL,L,70,6,2,11,2.88,21.88,31.26,0,L,60,3,0,11,3.0,17.0,28.33,1
2,JAX,W,65,2,0,13,2.88,17.88,27.51,1,W,55,4,0,6,3.0,13.0,23.64,0
3,NYG,L,63,8,2,5,2.88,17.88,28.38,0,L,69,2,2,9,3.0,16.0,23.19,1
4,LVR,L,57,3,1,5,2.88,11.88,20.84,0,L,55,2,1,6,3.0,12.0,21.82,1
5,WAS,L,59,7,1,9,2.88,19.88,33.69,0,L,65,3,2,5,3.0,13.0,20.0,1
6,PHI,L,53,5,0,7,2.88,14.88,28.08,0,L,62,1,0,5,3.0,9.0,14.52,1
7,CIN,L,77,4,2,10,2.88,18.88,24.52,0,L,53,3,0,3,3.0,9.0,16.98,1
8,BAL,W,66,2,1,7,2.88,12.88,19.52,1,W,62,3,0,7,3.0,13.0,20.97,0
9,LAC,L,76,6,3,4,2.88,15.88,20.89,0,L,56,6,0,5,3.0,14.0,25.0,1
11,NOR,L,70,3,0,3,2.88,8.88,12.69,0,L,58,1,2,5,3.0,11.0,18.97,1
12,PIT,W,55,1,3,8,2.88,14.88,27.05,1,W,67,4,1,6,3.0,14.0,20.9,0
13,DEN,L,84,3,3,5,2.88,13.88,16.52,0,L,61,0,2,4,3.0,9.0,14.75,1
14,PIT,L,69,3,3,9,2.88,17.88,25.91,0,L,62,1,1,6,3.0,11.0,17.74,1
15,KAN,L,60,5,6,6,2.88,19.88,33.13,0,L,75,0,0,4,3.0,7.0,9.33,1
16,CIN,L,63,5,3,5,2.88,15.88,25.21,0,L,56,4,1,5,3.0,13.0,23.21,1
17,MIA,L,76,1,2,9,2.88,14.88,19.58,0,L,57,4,0,11,3.0,18.0,31.58,1
18,BAL,L,55,2,2,3,2.88,9.88,17.96,0,L,67,0,0,10,3.0,13.0,19.4,1
