Week,Opponent,Result,Browns Drops,Browns Score,Browns Status,Browns Validity,Opp Drops,Opp Score,Opp Status,Opp Validity
1,DAL,L,5.0,34.29,Failed,Valid,4.0,30.0,Failed,Invalid
2,JAX,W,5.0,30.77,Failed,Invalid,4.0,25.45,Failed,Valid
3,NYG,L,5.0,31.75,Failed,Valid,3.0,23.19,Failed,Invalid
4,LVR,L,5.0,24.56,Failed,Valid,4.0,23.64,Failed,Invalid
5,WAS,L,4.0,35.59,Failed,Valid,3.0,20.0,Failed,Invalid
6,PHI,L,4.0,30.19,Failed,Valid,2.0,12.9,Failed,Invalid
7,CIN,L,2.0,23.38,Failed,Valid,4.0,18.87,Failed,Invalid
8,BAL,W,1.0,16.67,Failed,Invalid,4.0,22.58,Failed,Valid
9,LAC,L,2.0,19.74,Failed,Valid,4.0,26.79,Failed,Invalid
11,NOR,L,2.0,11.43,Met,Invalid,2.0,17.24,Failed,Invalid
12,PIT,W,1.0,23.64,Failed,Invalid,4.0,22.39,Failed,Valid
13,DEN,L,2.0,15.48,Failed,Valid,2.0,13.11,Failed,Invalid
14,PIT,L,1.0,23.19,Failed,Valid,3.0,17.74,Failed,Invalid
15,KAN,L,2.0,31.67,Failed,Valid,4.0,10.67,Met,Valid
16,CIN,L,1.0,22.22,Failed,Valid,4.0,25.0,Failed,Invalid
17,MIA,L,1.0,17.11,Failed,Valid,2.0,29.82,Failed,Invalid
18,BAL,L,1.0,14.55,Failed,Valid,4.0,20.9,Failed,Invalid
