Week,Opponent_Team,Cleveland_Result,Opp_Total_Plays,Opp_Sacks,Opp_Turnovers,Opp_Penalties,Opp_Est_Drops,Opp_Total_Errors,Opp_12_Percent_Score,Opp_Is_Win
1,DAL,L,60,3,0,11,3.0,17.0,28.33,1
2,JAX,W,55,4,0,6,3.0,13.0,23.64,0
3,NYG,L,69,2,2,9,3.0,16.0,23.19,1
4,LVR,L,55,2,1,6,3.0,12.0,21.82,1
5,WAS,L,65,3,2,5,3.0,13.0,20.0,1
6,PHI,L,62,1,0,5,3.0,9.0,14.52,1
7,CIN,L,53,3,0,3,3.0,9.0,16.98,1
8,BAL,W,62,3,0,7,3.0,13.0,20.97,0
9,LAC,L,56,6,0,5,3.0,14.0,25.0,1
11,NOR,L,58,1,2,5,3.0,11.0,18.97,1
12,PIT,W,67,4,1,6,3.0,14.0,20.9,0
13,DEN,L,61,0,2,4,3.0,9.0,14.75,1
14,PIT,L,62,1,1,6,3.0,11.0,17.74,1
15,KAN,L,75,0,0,4,3.0,7.0,9.33,1
16,CIN,L,56,4,1,5,3.0,13.0,23.21,1
17,MIA,L,57,4,0,11,3.0,18.0,31.58,1
18,BAL,L,67,0,0,10,3.0,13.0,19.4,1
